PROV,VAR_ANUAL_POB,PORC_60_MAS,PORC_EDAD_DEMANDA,PORC_EUROPEOS_NO_ESP,PORC_RESTO_EXTRANJEROS,INTENSIDAD_VIV,CLUSTER_RAW,PRECIO_M2
A Coruña,0.23398695652173912,32.82940869565218,31.565900000000003,0.2791782608695652,4.6908130434782604,8.284782608695652,2,1429.8534782608695
Albacete,0.13234782608695653,27.066439130434784,32.922030434782606,0.46279130434782606,7.573678260869564,9.108260869565218,3,945.3730434782609
Alicante / Alacant,1.4875695652173915,27.36934782608696,33.1977,6.659560869565218,15.53135652173913,22.003478260869564,4,1648.9252173913044
Almería,1.204691304347826,21.676030434782607,36.613017391304346,2.9587086956521738,19.21214782608696,16.90434782608696,1,1150.3826086956522
Araba / Álava,0.5456565217391305,28.979826086956518,32.00507391304348,0.5982695652173913,9.854613043478262,10.333913043478262,2,2216.8160869565218
Asturias,-0.07718695652173913,35.54906521739131,29.918608695652175,0.42634347826086955,5.031721739130435,11.013478260869565,2,1315.881304347826
Badajoz,-0.18020434782608696,27.74831304347826,32.53965652173913,0.13159565217391303,3.4981391304347826,8.908260869565217,3,757.2960869565218
Barcelona,0.8889434782608696,25.409339130434784,35.20553043478261,1.3445608695652174,15.034191304347827,10.109565217391305,1,2739.919130434783
Bizkaia,0.25115652173913044,31.355126086956524,31.0868,0.29432608695652174,8.310852173913043,9.509130434782609,2,2797.0465217391306
Burgos,0.27944347826086957,32.4832347826087,30.20034347826087,0.36136086956521735,8.968039130434782,12.314782608695653,2,1194.1147826086956
Cantabria,0.3316826086956522,30.961795652173915,31.58621304347826,0.8840434782608695,6.179347826086956,13.401739130434782,2,1671.0691304347824
Castellón / Castelló,1.3112043478260869,26.485573913043478,33.45448260869565,1.0769434782608696,15.77423043478261,17.278695652173912,2,1109.0121739130434
Ceuta,-0.2551217391304348,19.06052608695652,34.87569565217391,0.07218260869565218,6.1652,5.466521739130435,3,1938.1173913043476
Ciudad Real,-0.0022739130434782573,28.211143478260873,32.4342,0.2573521739130435,6.8984000000000005,9.731739130434782,3,647.1756521739131
Cuenca,0.2092521739130435,30.661047826086957,31.507456521739133,0.6400869565217391,12.579291304347828,9.482173913043479,2,725.4286956521739
Cáceres,-0.23781304347826085,32.30515652173913,30.296704347826086,0.1683391304347826,3.9308086956521735,9.27,2,805.28
Cádiz,0.23674347826086956,24.88120434782609,33.708991304347826,0.7423565217391305,4.020773913043478,11.947391304347827,3,1508.658695652174
Córdoba,-0.1753,27.75893043478261,32.21394782608696,0.3530826086956522,2.9904739130434783,10.145652173913044,3,1129.891304347826
